Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Ambient Light Level,HVAC Operation Mode_ECO_MODE,HVAC Operation Mode_HEATING_ACTIVE,HVAC Operation Mode_MAINTENANCE_MODE,HVAC Operation Mode_OFF,HVAC Operation Mode_VENTILATION_ONLY
4,19.5,52.22,-0.020686390545375816,0.656823023707664,-0.048618170521630096,-0.5249230649061668,0.049525069375781966,-0.6364471990872254,-0.3720277030974042,2.0,0,0,0,1,0
1,19.86,53.01,0.347489370351875,-0.41087173616715494,-1.4177289560596151,-0.5517110228887869,-0.1560191396642332,-0.28818144432639226,0.9076579503280038,3.0,0,0,0,1,0
2,18.1,54.44,-0.16784623189667247,0.721419920278373,0.9316824164681797,0.9304237519787739,0.45320047617302817,1.2610270510001467,-0.3720277030974042,3.0,0,0,0,1,0
1,17.61,52.558719774816105,0.4461624900688524,0.29472601616901994,0.33872989964580197,0.5774829789906597,0.4170850215900586,0.9879174969420252,-0.3720277030974042,3.0,1,0,0,0,0
1,17.76,46.21,-0.7350061996382556,0.7221905205331796,-0.6433449125825627,1.1166274128771887,0.6700343597670986,1.0985308008198718,-0.3720277030974042,4.0,0,1,0,0,0
3,22.98,45.46,0.0879323727655064,0.5663057518635229,-1.7167832994704517,-0.20874461972954786,-0.3408542155084212,-0.5955316221161432,-0.3720277030974042,4.0,0,1,0,0,0
3,21.77000000000004,52.02,-0.19580098220138845,-0.20522881417216052,0.3341989046071367,0.15712548741896704,0.2878361125192954,0.3699720583182008,-0.3720277030974042,1.0,0,1,0,0,0
2,23.19,51.65,-3.538540710555859,-1.0990812793176419,0.15910613896925646,-0.8743281550247038,-0.15685182209207005,-0.24427674206353842,0.9076579503280038,2.0,1,0,0,0,0
1,19.88,58.54,0.6602506488046503,-1.1955848498176342,0.23170506534631655,-0.989431026610544,-0.8431421964278308,-1.1600175959179337,0.9076579503280038,3.0,0,0,0,0,1
2,19.3,43.07,-1.222783719221012,1.8020766675130575,0.7222868358254515,1.0908459352442657,0.8677787551157613,1.5690463920865945,-1.6517133565228121,4.0,1,0,0,0,0
1,15.24,42.91,-1.1379387925266573,0.6490460966362391,1.885980980369244,2.2297865761410915,1.2726119909394242,2.100763226813676,-0.3720277030974042,3.0,0,0,0,1,0
4,18.72,52.99906980019798,-0.11669831330193287,0.9642130240295449,0.3880018930310353,0.26357797718973547,0.3009716456747345,0.5875423583380236,-0.3720277030974042,3.0,1,0,0,0,0
2,20.63,48.23,-0.07273666186463383,0.2963176624902238,-0.4993471374275553,0.2894690108112327,-0.12731893331665092,0.05611777937335654,0.9076579503280038,4.0,0,0,0,1,0
1,20.02,55.26,0.21432126924033548,-0.9746559408930231,-0.027710159281982196,-0.6222560264437242,0.13016731604061044,0.11984776588531973,-0.3720277030974042,4.0,1,0,0,0,0
4,22.73,54.0,0.252690873662802,-1.091639181832593,-0.11031713491431856,-0.8074570241365352,-0.5790268121262024,-0.6582830347386548,-0.3720277030974042,4.0,0,0,1,0,0
2,18.51,52.06244445682359,-0.6350497162153508,0.028082754234882785,2.1885809149592474,1.0914234669481713,0.7462703309801343,1.2597362022865344,-1.6517133565228121,2.0,0,0,0,0,0
1,19.01,44.21,-2.399144844409257,1.2114261536077657,-0.22217574701600276,0.8580143844838594,0.4508691536749304,0.5974999979783818,-0.3720277030974042,1.0,0,0,0,0,1
2,28.91929699624485,52.060700235647246,-3.104035317235205,1.7125868685704952,0.6633382601769732,1.113221915400902,0.5949959435364089,0.4994003782555827,-0.3720277030974042,4.0,0,0,0,1,0
1,18.52,55.573019103667505,-1.2536229149984093,-0.7098295981819237,1.5045812179037692,0.7577473528160189,0.6849162823160546,0.9981293124606042,-1.6517133565228121,4.0,0,1,0,0,0
